ImageNumber,ObjectNumber,Intensity_IntegratedIntensityEdge_Membranestainintensityconversions,Intensity_IntegratedIntensity_Membranestainintensityconversions,Intensity_LowerQuartileIntensity_Membranestainintensityconversions,Intensity_MADIntensity_Membranestainintensityconversions,Intensity_MassDisplacement_Membranestainintensityconversions,Intensity_MaxIntensityEdge_Membranestainintensityconversions,Intensity_MaxIntensity_Membranestainintensityconversions,Intensity_MeanIntensityEdge_Membranestainintensityconversions,Intensity_MeanIntensity_Membranestainintensityconversions,Intensity_MedianIntensity_Membranestainintensityconversions,Intensity_MinIntensityEdge_Membranestainintensityconversions,Intensity_MinIntensity_Membranestainintensityconversions,Intensity_StdIntensityEdge_Membranestainintensityconversions,Intensity_StdIntensity_Membranestainintensityconversions,Intensity_UpperQuartileIntensity_Membranestainintensityconversions,Location_CenterMassIntensity_X_Membranestainintensityconversions,Location_CenterMassIntensity_Y_Membranestainintensityconversions,Location_CenterMassIntensity_Z_Membranestainintensityconversions,Location_Center_X,Location_Center_Y,Location_MaxIntensity_X_Membranestainintensityconversions,Location_MaxIntensity_Y_Membranestainintensityconversions,Location_MaxIntensity_Z_Membranestainintensityconversions,Number_Object_Number
1,1,42.23779881,564.1385519,0.666639373,0.015394688,0.206847853,0.756632805,0.756632805,0.692422931,0.683804305,0.679659367,0.62266624,0.62266624,0.025824235,0.023403978,0.698657036,497.9669671,14.95818884,0,498.0436364,15.15030303,486,11,0,1
1,2,94.01146376,1780.562396,0.67490992,0.018015087,0.079023694,0.786439538,0.91188997,0.712208059,0.697166169,0.690468371,0.663282037,0.626596808,0.028162531,0.030836968,0.713560432,423.1052581,22.31908403,0,423.1401723,22.38997651,439,44,0,2
1,3,110.5558467,1674.101865,0.673108399,0.01637733,0.137979045,0.839829683,0.847690821,0.699720549,0.69177763,0.688175559,0.628562093,0.628562093,0.033029869,0.026094845,0.706518173,465.0699947,32.89982729,0,465.1933884,32.96157025,458,47,0,3
1,4,85.6436289,1522.490665,0.68424499,0.01637733,0.088847002,0.791025221,0.82640028,0.707798586,0.70257991,0.699639678,0.632820189,0.632820189,0.027471191,0.026158571,0.717654765,270.2224313,21.1491234,0,270.2944162,21.20119982,278,0,0,4
1,5,129.5158861,1577.574843,0.678676724,0.017851293,0.190996338,0.872256815,0.934818208,0.715557382,0.700832893,0.69439894,0.659351468,0.634457886,0.034175148,0.034240768,0.716017008,229.3052549,37.50763279,0,229.4251444,37.35895158,226,74,0,5
1,6,131.0537179,2778.112019,0.67540127,0.0176875,0.220623663,0.804454625,0.877170026,0.716140535,0.698369034,0.690140843,0.640681326,0.627579451,0.032087051,0.032377365,0.713724196,318.8525308,32.70916738,0,318.6442936,32.78205128,312,0,0,6
1,7,125.3583361,2641.374055,0.668522775,0.014084518,0.502191161,0.825417638,0.934818208,0.696435201,0.691097346,0.680314422,0.645594478,0.624631524,0.02973594,0.037186472,0.700949907,111.4785138,30.04587893,0,111.2619048,30.49895343,124,0,0,7
1,8,150.4945953,3887.212904,0.675073683,0.0176875,0.153563483,0.817228973,0.965935171,0.713244527,0.698385358,0.690140843,0.66295445,0.622011125,0.028604482,0.033449143,0.714379311,179.1705822,37.69956996,0,179.1978081,37.85070068,163,27,0,8
1,9,194.8365548,3677.792335,0.678349137,0.018342614,0.184100366,0.804127097,0.884048462,0.718954077,0.702002736,0.693743885,0.666557491,0.633475244,0.024787172,0.033520425,0.717982292,386.5507957,48.265041,0,386.7262836,48.20939111,388,80,0,9
1,10,131.6862103,3083.176872,0.674418628,0.016049743,0.334712219,0.818539143,0.869963944,0.700458565,0.694409205,0.689485729,0.641336381,0.623648882,0.032934665,0.029119898,0.707500815,45.10809918,33.6565876,0,45.18558559,33.98220721,67,0,0,10
1,11,81.46806443,1109.270552,0.673108399,0.02391094,0.317835263,0.819194257,0.846708179,0.714632144,0.702959792,0.692761242,0.652145445,0.621683598,0.038979627,0.037898085,0.727317393,9.207068858,50.23670178,0,9.096958175,50.53485425,10,2,0,11
1,12,94.04061556,2029.005893,0.671470702,0.012119234,0.169489859,0.743530929,0.766459227,0.691475114,0.68431902,0.682607293,0.646249592,0.625286579,0.023257055,0.018412756,0.695709109,493.2389918,74.75027054,0,493.3217538,74.60236088,479,65,0,12
1,13,139.8047821,1760.089746,0.678349137,0.011464119,0.111937961,0.861120224,0.904028833,0.69902391,0.691044266,0.689158201,0.652145445,0.638060927,0.02327266,0.019700293,0.701277435,123.449437,79.42327219,0,123.3490381,79.37377307,148,68,0,13
1,14,144.0851619,2280.629215,0.679986894,0.01506716,0.155566023,0.885358691,0.885358691,0.720425809,0.698080568,0.69308877,0.672453344,0.634457886,0.028952437,0.0261396,0.711431384,258.2388666,80.03175076,0,258.1585552,80.16498316,229,77,0,14
1,15,208.4323617,3840.037338,0.690140843,0.015722215,0.164595515,0.793973148,0.839502156,0.716262411,0.708232633,0.704225361,0.665902376,0.644939423,0.023801474,0.025712201,0.721912861,322.1158428,101.0274495,0,321.959609,100.9756547,324,124,0,15
1,16,218.7543403,4176.820831,0.681297064,0.01375699,0.104521105,0.811660647,0.882738292,0.717227345,0.697648377,0.693743885,0.646904707,0.633802831,0.025658471,0.024170691,0.709793627,424.8354365,108.1643019,0,424.9397027,108.1570068,414,100,0,16
